DS1921:  E734C00004893721
Download at: 8/4/2006 3:00:46 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/19/2006  14:16 
Mission Start delay: 0 minute(s)
Mission Samples: 770
Device total samples: 2692
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Friday  08/04/2006  15:01:37 
Current PC Time: Friday  08/04/2006  15:01:07 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 6
10.0°C, 764
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/19/2006  14:16 , 10.0°C
 07/19/2006  14:46 , 10.0°C
 07/19/2006  15:16 , 10.0°C
 07/19/2006  15:46 , 10.0°C
 07/19/2006  16:16 , 10.0°C
 07/19/2006  16:46 , 10.0°C
 07/19/2006  17:16 , 10.5°C
 07/19/2006  17:46 , 10.0°C
 07/19/2006  18:16 , 10.0°C
 07/19/2006  18:46 , 10.5°C
 07/19/2006  19:16 , 10.5°C
 07/19/2006  19:46 , 10.5°C
 07/19/2006  20:16 , 10.5°C
 07/19/2006  20:46 , 10.5°C
 07/19/2006  21:16 , 10.5°C
 07/19/2006  21:46 , 10.5°C
 07/19/2006  22:16 , 10.0°C
 07/19/2006  22:46 , 10.0°C
 07/19/2006  23:16 , 10.0°C
 07/19/2006  23:46 , 10.0°C
 07/20/2006  00:16 , 10.0°C
 07/20/2006  00:46 , 10.5°C
 07/20/2006  01:16 , 10.0°C
 07/20/2006  01:46 , 10.5°C
 07/20/2006  02:16 , 10.0°C
 07/20/2006  02:46 , 10.0°C
 07/20/2006  03:16 , 10.0°C
 07/20/2006  03:46 , 10.0°C
 07/20/2006  04:16 , 10.0°C
