DS1921:  1134C000018D0021
Download at: 5/11/2004 11:52:21 AM

Mission State
-------------
Mission is ended
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  05/09/2004  12:01 
Mission Start delay: 0 minute(s)
Mission Samples: 96
Device total samples: 46927
Temperatures displayed in: (Celsius)
High Threshold: 35.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  05/11/2004  11:54:54 
Current PC Time: Tuesday  05/11/2004  11:54:55 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(no)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Start Temp , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 0
12.0°C, 1
14.0°C, 0
16.0°C, 1
18.0°C, 0
20.0°C, 34
22.0°C, 60
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 05/09/2004  12:01 , 22.0°C
 05/09/2004  12:31 , 22.5°C
 05/09/2004  13:01 , 22.5°C
 05/09/2004  13:31 , 22.5°C
 05/09/2004  14:01 , 22.5°C
 05/09/2004  14:31 , 23.0°C
 05/09/2004  15:01 , 23.0°C
 05/09/2004  15:31 , 23.0°C
 05/09/2004  16:01 , 23.0°C
 05/09/2004  16:31 , 23.0°C
 05/09/2004  17:01 , 23.0°C
 05/09/2004  17:31 , 23.5°C
 05/09/2004  18:01 , 23.5°C
 05/09/2004  18:31 , 23.5°C
 05/09/2004  19:01 , 23.0°C
 05/09/2004  19:31 , 23.0°C
 05/09/2004  20:01 , 23.0°C
 05/09/2004  20:31 , 23.0°C
 05/09/2004  21:01 , 23.0°C
 05/09/2004  21:31 , 23.0°C
 05/09/2004  22:01 , 22.5°C
 05/09/2004  22:31 , 22.5°C
 05/09/2004  23:01 , 22.5°C
 05/09/2004  23:31 , 22.5°C
 05/10/2004  00:01 , 22.5°C
 05/10/2004  00:31 , 22.5°C
 05/10/2004  01:01 , 22.5°C
 05/10/2004  01:31 , 22.5°C
 05/10/2004  02:01 , 22.5°C
