DS1921:  A734C000018D2021
Download at: 7/8/2007 12:51:22 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/09/2007  15:01 
Mission Start delay: 0 minute(s)
Mission Samples: 1388
Device total samples: 99727
Temperatures displayed in: (Celsius)
High Threshold: -40.0°C
Low Threshold: -40.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(H)
Current Real-Time Clock from DS1921: Sunday  07/08/2007  12:51:37 
Current PC Time: Sunday  07/08/2007  12:51:29 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
HIGH ,  06/09/2007  15:01  to  06/14/2007  22:01 
HIGH ,  06/14/2007  22:31  to  06/20/2007  05:31 
HIGH ,  06/20/2007  06:01  to  06/25/2007  13:01 
HIGH ,  06/25/2007  13:31  to  06/30/2007  20:31 
HIGH ,  06/30/2007  21:01  to  07/06/2007  04:01 
HIGH ,  07/06/2007  04:31  to  07/08/2007  12:31 

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C to -38.5°C, 0
-38.0°C to -36.5°C, 0
-36.0°C to -34.5°C, 0
-34.0°C to -32.5°C, 0
-32.0°C to -30.5°C, 0
-30.0°C to -28.5°C, 0
-28.0°C to -26.5°C, 0
-26.0°C to -24.5°C, 0
-24.0°C to -22.5°C, 0
-22.0°C to -20.5°C, 0
-20.0°C to -18.5°C, 0
-18.0°C to -16.5°C, 0
-16.0°C to -14.5°C, 0
-14.0°C to -12.5°C, 0
-12.0°C to -10.5°C, 0
-10.0°C to -8.5°C, 0
-8.0°C to -6.5°C, 0
-6.0°C to -4.5°C, 0
-4.0°C to -2.5°C, 0
-2.0°C to -0.5°C, 0
0.0°C to 1.5°C, 0
2.0°C to 3.5°C, 0
4.0°C to 5.5°C, 0
6.0°C to 7.5°C, 0
8.0°C to 9.5°C, 0
10.0°C to 11.5°C, 3
12.0°C to 13.5°C, 483
14.0°C to 15.5°C, 899
16.0°C to 17.5°C, 0
18.0°C to 19.5°C, 1
20.0°C to 21.5°C, 0
22.0°C to 23.5°C, 1
24.0°C to 25.5°C, 0
26.0°C to 27.5°C, 1
28.0°C to 29.5°C, 0
30.0°C to 31.5°C, 0
32.0°C to 33.5°C, 0
34.0°C to 35.5°C, 0
36.0°C to 37.5°C, 0
38.0°C to 39.5°C, 0
40.0°C to 41.5°C, 0
42.0°C to 43.5°C, 0
44.0°C to 45.5°C, 0
46.0°C to 47.5°C, 0
48.0°C to 49.5°C, 0
50.0°C to 51.5°C, 0
52.0°C to 53.5°C, 0
54.0°C to 55.5°C, 0
56.0°C to 57.5°C, 0
58.0°C to 59.5°C, 0
60.0°C to 61.5°C, 0
62.0°C to 63.5°C, 0
64.0°C to 65.5°C, 0
66.0°C to 67.5°C, 0
68.0°C to 69.5°C, 0
70.0°C to 71.5°C, 0
72.0°C to 73.5°C, 0
74.0°C to 75.5°C, 0
76.0°C to 77.5°C, 0
78.0°C to 79.5°C, 0
80.0°C to 81.5°C, 0
82.0°C to 83.5°C, 0
84.0°C to 85.5°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/09/2007  15:01 , 13.0°C
 06/09/2007  15:31 , 13.0°C
 06/09/2007  16:01 , 13.0°C
 06/09/2007  16:31 , 13.5°C
 06/09/2007  17:01 , 13.5°C
 06/09/2007  17:31 , 13.5°C
 06/09/2007  18:01 , 13.5°C
 06/09/2007  18:31 , 13.5°C
 06/09/2007  19:01 , 14.0°C
 06/09/2007  19:31 , 14.0°C
 06/09/2007  20:01 , 14.0°C
 06/09/2007  20:31 , 14.0°C
 06/09/2007  21:01 , 14.0°C
 06/09/2007  21:31 , 14.0°C
 06/09/2007  22:01 , 14.0°C
 06/09/2007  22:31 , 14.0°C
 06/09/2007  23:01 , 14.0°C
 06/09/2007  23:31 , 13.5°C
 06/10/2007  00:01 , 13.5°C
 06/10/2007  00:31 , 13.5°C
 06/10/2007  01:01 , 13.5°C
 06/10/2007  01:31 , 13.5°C
 06/10/2007  02:01 , 13.5°C
 06/10/2007  02:31 , 13.5°C
 06/10/2007  03:01 , 13.5°C
 06/10/2007  03:31 , 13.5°C
 06/10/2007  04:01 , 13.5°C
 06/10/2007  04:31 , 13.0°C
 06/10/2007  05:01 , 13.0°C
 06/10/2007  05:31 , 13.0°C
 06/10/2007  06:01 , 13.0°C
 06/10/2007  06:31 , 13.0°C
 06/10/2007  07:01 , 13.0°C
 06/10/2007  07:31 , 13.0°C
 06/10/2007  08:01 , 13.0°C
 06/10/2007  08:31 , 13.0°C
 06/10/2007  09:01 , 13.0°C
 06/10/2007  09:31 , 13.0°C
 06/10/2007  10:01 , 13.5°C
 06/10/2007  10:31 , 13.5°C
 06/10/2007  11:01 , 13.5°C
 06/10/2007  11:31 , 13.5°C
 06/10/2007  12:01 , 13.5°C
 06/10/2007  12:31 , 14.0°C
 06/10/2007  13:01 , 14.0°C
 06/10/2007  13:31 , 14.0°C
 06/10/2007  14:01 , 14.0°C
 06/10/2007  14:31 , 14.0°C
 06/10/2007  15:01 , 14.0°C
 06/10/2007  15:31 , 14.0°C
 06/10/2007  16:01 , 14.0°C
 06/10/2007  16:31 , 14.5°C
 06/10/2007  17:01 , 14.5°C
 06/10/2007  17:31 , 14.5°C
 06/10/2007  18:01 , 14.5°C
 06/10/2007  18:31 , 14.5°C
 06/10/2007  19:01 , 14.5°C
 06/10/2007  19:31 , 14.5°C
 06/10/2007  20:01 , 14.5°C
 06/10/2007  20:31 , 14.5°C
 06/10/2007  21:01 , 14.5°C
 06/10/2007  21:31 , 14.5°C
 06/10/2007  22:01 , 14.5°C
 06/10/2007  22:31 , 14.5°C
 06/10/2007  23:01 , 14.5°C
 06/10/2007  23:31 , 14.0°C
 06/11/2007  00:01 , 14.0°C
 06/11/2007  00:31 , 14.0°C
 06/11/2007  01:01 , 14.0°C
 06/11/2007  01:31 , 14.0°C
 06/11/2007  02:01 , 14.0°C
 06/11/2007  02:31 , 13.5°C
 06/11/2007  03:01 , 13.5°C
 06/11/2007  03:31 , 13.5°C
 06/11/2007  04:01 , 13.5°C
 06/11/2007  04:31 , 13.5°C
 06/11/2007  05:01 , 13.5°C
 06/11/2007  05:31 , 13.5°C
 06/11/2007  06:01 , 13.0°C
 06/11/2007  06:31 , 13.0°C
 06/11/2007  07:01 , 13.0°C
 06/11/2007  07:31 , 13.0°C
 06/11/2007  08:01 , 13.0°C
 06/11/2007  08:31 , 13.0°C
 06/11/2007  09:01 , 13.0°C
 06/11/2007  09:31 , 13.0°C
 06/11/2007  10:01 , 13.5°C
 06/11/2007  10:31 , 13.5°C
 06/11/2007  11:01 , 13.5°C
 06/11/2007  11:31 , 13.5°C
 06/11/2007  12:01 , 13.5°C
 06/11/2007  12:31 , 14.0°C
 06/11/2007  13:01 , 14.0°C
 06/11/2007  13:31 , 14.0°C
 06/11/2007  14:01 , 14.0°C
 06/11/2007  14:31 , 14.0°C
 06/11/2007  15:01 , 14.0°C
 06/11/2007  15:31 , 14.0°C
 06/11/2007  16:01 , 14.5°C
 06/11/2007  16:31 , 14.5°C
 06/11/2007  17:01 , 14.5°C
 06/11/2007  17:31 , 14.5°C
 06/11/2007  18:01 , 14.5°C
 06/11/2007  18:31 , 14.5°C
 06/11/2007  19:01 , 14.5°C
 06/11/2007  19:31 , 14.5°C
 06/11/2007  20:01 , 14.5°C
 06/11/2007  20:31 , 14.5°C
 06/11/2007  21:01 , 14.5°C
 06/11/2007  21:31 , 14.5°C
 06/11/2007  22:01 , 14.5°C
 06/11/2007  22:31 , 14.5°C
 06/11/2007  23:01 , 14.5°C
 06/11/2007  23:31 , 14.0°C
 06/12/2007  00:01 , 14.0°C
 06/12/2007  00:31 , 14.0°C
 06/12/2007  01:01 , 14.0°C
 06/12/2007  01:31 , 14.0°C
 06/12/2007  02:01 , 14.0°C
 06/12/2007  02:31 , 14.0°C
 06/12/2007  03:01 , 13.5°C
 06/12/2007  03:31 , 13.5°C
 06/12/2007  04:01 , 13.5°C
 06/12/2007  04:31 , 13.5°C
 06/12/2007  05:01 , 13.5°C
 06/12/2007  05:31 , 13.5°C
 06/12/2007  06:01 , 13.5°C
 06/12/2007  06:31 , 13.5°C
 06/12/2007  07:01 , 13.5°C
 06/12/2007  07:31 , 13.5°C
 06/12/2007  08:01 , 13.0°C
 06/12/2007  08:31 , 13.0°C
 06/12/2007  09:01 , 13.0°C
 06/12/2007  09:31 , 13.5°C
 06/12/2007  10:01 , 13.5°C
 06/12/2007  10:31 , 13.5°C
 06/12/2007  11:01 , 13.5°C
 06/12/2007  11:31 , 13.5°C
 06/12/2007  12:01 , 13.5°C
 06/12/2007  12:31 , 14.0°C
 06/12/2007  13:01 , 14.0°C
 06/12/2007  13:31 , 14.0°C
 06/12/2007  14:01 , 14.0°C
 06/12/2007  14:31 , 14.0°C
 06/12/2007  15:01 , 14.0°C
 06/12/2007  15:31 , 14.5°C
 06/12/2007  16:01 , 14.5°C
 06/12/2007  16:31 , 14.5°C
 06/12/2007  17:01 , 14.5°C
 06/12/2007  17:31 , 14.5°C
 06/12/2007  18:01 , 14.5°C
 06/12/2007  18:31 , 14.5°C
 06/12/2007  19:01 , 14.5°C
 06/12/2007  19:31 , 14.5°C
 06/12/2007  20:01 , 14.5°C
 06/12/2007  20:31 , 14.5°C
 06/12/2007  21:01 , 14.5°C
 06/12/2007  21:31 , 14.5°C
 06/12/2007  22:01 , 14.5°C
 06/12/2007  22:31 , 14.5°C
 06/12/2007  23:01 , 14.5°C
 06/12/2007  23:31 , 14.5°C
 06/13/2007  00:01 , 14.0°C
 06/13/2007  00:31 , 14.0°C
 06/13/2007  01:01 , 14.0°C
 06/13/2007  01:31 , 14.0°C
 06/13/2007  02:01 , 14.0°C
 06/13/2007  02:31 , 14.0°C
 06/13/2007  03:01 , 13.5°C
 06/13/2007  03:31 , 13.5°C
 06/13/2007  04:01 , 13.5°C
 06/13/2007  04:31 , 13.5°C
 06/13/2007  05:01 , 13.5°C
 06/13/2007  05:31 , 13.5°C
 06/13/2007  06:01 , 13.5°C
 06/13/2007  06:31 , 13.5°C
 06/13/2007  07:01 , 13.5°C
 06/13/2007  07:31 , 13.5°C
 06/13/2007  08:01 , 13.5°C
 06/13/2007  08:31 , 13.0°C
 06/13/2007  09:01 , 13.0°C
 06/13/2007  09:31 , 13.5°C
 06/13/2007  10:01 , 13.5°C
 06/13/2007  10:31 , 13.5°C
 06/13/2007  11:01 , 13.5°C
 06/13/2007  11:31 , 13.5°C
 06/13/2007  12:01 , 14.0°C
 06/13/2007  12:31 , 14.0°C
 06/13/2007  13:01 , 14.0°C
 06/13/2007  13:31 , 14.0°C
 06/13/2007  14:01 , 14.0°C
 06/13/2007  14:31 , 14.0°C
 06/13/2007  15:01 , 14.5°C
 06/13/2007  15:31 , 14.5°C
 06/13/2007  16:01 , 14.5°C
 06/13/2007  16:31 , 14.5°C
 06/13/2007  17:01 , 14.5°C
 06/13/2007  17:31 , 14.5°C
 06/13/2007  18:01 , 14.5°C
 06/13/2007  18:31 , 14.5°C
 06/13/2007  19:01 , 14.5°C
 06/13/2007  19:31 , 14.5°C
 06/13/2007  20:01 , 14.5°C
 06/13/2007  20:31 , 14.5°C
 06/13/2007  21:01 , 14.5°C
 06/13/2007  21:31 , 14.5°C
 06/13/2007  22:01 , 14.5°C
 06/13/2007  22:31 , 14.5°C
 06/13/2007  23:01 , 14.5°C
 06/13/2007  23:31 , 14.5°C
 06/14/2007  00:01 , 14.0°C
 06/14/2007  00:31 , 14.0°C
 06/14/2007  01:01 , 14.0°C
 06/14/2007  01:31 , 14.0°C
 06/14/2007  02:01 , 14.0°C
 06/14/2007  02:31 , 14.0°C
 06/14/2007  03:01 , 14.0°C
 06/14/2007  03:31 , 14.0°C
 06/14/2007  04:01 , 14.0°C
 06/14/2007  04:31 , 14.0°C
 06/14/2007  05:01 , 14.0°C
 06/14/2007  05:31 , 14.0°C
 06/14/2007  06:01 , 13.5°C
 06/14/2007  06:31 , 13.5°C
 06/14/2007  07:01 , 13.5°C
 06/14/2007  07:31 , 13.5°C
 06/14/2007  08:01 , 13.5°C
 06/14/2007  08:31 , 13.5°C
 06/14/2007  09:01 , 13.5°C
 06/14/2007  09:31 , 13.5°C
 06/14/2007  10:01 , 14.0°C
 06/14/2007  10:31 , 14.0°C
 06/14/2007  11:01 , 14.0°C
 06/14/2007  11:31 , 14.0°C
 06/14/2007  12:01 , 14.0°C
 06/14/2007  12:31 , 14.0°C
 06/14/2007  13:01 , 14.5°C
 06/14/2007  13:31 , 14.5°C
 06/14/2007  14:01 , 14.5°C
 06/14/2007  14:31 , 14.5°C
 06/14/2007  15:01 , 14.5°C
 06/14/2007  15:31 , 14.5°C
 06/14/2007  16:01 , 14.5°C
 06/14/2007  16:31 , 14.5°C
 06/14/2007  17:01 , 14.5°C
 06/14/2007  17:31 , 14.5°C
 06/14/2007  18:01 , 14.5°C
 06/14/2007  18:31 , 14.5°C
 06/14/2007  19:01 , 14.5°C
 06/14/2007  19:31 , 14.5°C
 06/14/2007  20:01 , 14.5°C
 06/14/2007  20:31 , 14.5°C
 06/14/2007  21:01 , 14.5°C
 06/14/2007  21:31 , 14.5°C
 06/14/2007  22:01 , 14.5°C
 06/14/2007  22:31 , 14.5°C
 06/14/2007  23:01 , 14.5°C
 06/14/2007  23:31 , 14.5°C
 06/15/2007  00:01 , 14.5°C
 06/15/2007  00:31 , 14.5°C
 06/15/2007  01:01 , 14.0°C
 06/15/2007  01:31 , 14.0°C
 06/15/2007  02:01 , 14.0°C
 06/15/2007  02:31 , 14.0°C
