DS1921:  AC34C000047C7A21
Download at: 7/5/2006 3:24:16 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/07/2006  17:01 
Mission Start delay: 0 minute(s)
Mission Samples: 1341
Device total samples: 1341
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Wednesday  07/05/2006  15:25:24 
Current PC Time: Wednesday  07/05/2006  15:25:14 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 881
10.0°C, 400
12.0°C, 58
14.0°C, 0
16.0°C, 0
18.0°C, 1
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 1
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/07/2006  17:01 , 11.5°C
 06/07/2006  17:31 , 11.5°C
 06/07/2006  18:01 , 11.5°C
 06/07/2006  18:31 , 11.5°C
 06/07/2006  19:01 , 11.5°C
 06/07/2006  19:31 , 11.5°C
 06/07/2006  20:01 , 11.5°C
 06/07/2006  20:31 , 11.0°C
 06/07/2006  21:01 , 11.0°C
 06/07/2006  21:31 , 11.0°C
 06/07/2006  22:01 , 11.0°C
 06/07/2006  22:31 , 11.0°C
 06/07/2006  23:01 , 11.0°C
 06/07/2006  23:31 , 11.0°C
 06/08/2006  00:01 , 11.0°C
 06/08/2006  00:31 , 10.5°C
 06/08/2006  01:01 , 11.0°C
 06/08/2006  01:31 , 11.0°C
 06/08/2006  02:01 , 11.0°C
 06/08/2006  02:31 , 11.0°C
 06/08/2006  03:01 , 11.0°C
 06/08/2006  03:31 , 11.0°C
 06/08/2006  04:01 , 11.0°C
 06/08/2006  04:31 , 10.5°C
 06/08/2006  05:01 , 11.0°C
 06/08/2006  05:31 , 10.5°C
 06/08/2006  06:01 , 10.5°C
 06/08/2006  06:31 , 10.5°C
 06/08/2006  07:01 , 10.5°C
 06/08/2006  07:31 , 10.5°C
 06/08/2006  08:01 , 10.0°C
 06/08/2006  08:31 , 10.5°C
 06/08/2006  09:01 , 10.5°C
 06/08/2006  09:31 , 10.5°C
 06/08/2006  10:01 , 11.0°C
 06/08/2006  10:31 , 11.0°C
 06/08/2006  11:01 , 11.5°C
 06/08/2006  11:31 , 11.5°C
 06/08/2006  12:01 , 11.5°C
 06/08/2006  12:31 , 12.0°C
 06/08/2006  13:01 , 12.0°C
 06/08/2006  13:31 , 12.0°C
 06/08/2006  14:01 , 12.0°C
 06/08/2006  14:31 , 12.0°C
 06/08/2006  15:01 , 12.0°C
 06/08/2006  15:31 , 12.0°C
 06/08/2006  16:01 , 12.0°C
 06/08/2006  16:31 , 11.5°C
 06/08/2006  17:01 , 11.5°C
 06/08/2006  17:31 , 11.5°C
 06/08/2006  18:01 , 11.5°C
 06/08/2006  18:31 , 11.5°C
 06/08/2006  19:01 , 11.5°C
 06/08/2006  19:31 , 11.5°C
 06/08/2006  20:01 , 11.5°C
 06/08/2006  20:31 , 11.0°C
 06/08/2006  21:01 , 11.0°C
 06/08/2006  21:31 , 11.0°C
 06/08/2006  22:01 , 11.0°C
 06/08/2006  22:31 , 11.0°C
 06/08/2006  23:01 , 11.0°C
 06/08/2006  23:31 , 11.0°C
 06/09/2006  00:01 , 11.0°C
 06/09/2006  00:31 , 11.0°C
 06/09/2006  01:01 , 11.0°C
 06/09/2006  01:31 , 11.0°C
 06/09/2006  02:01 , 11.0°C
 06/09/2006  02:31 , 11.0°C
 06/09/2006  03:01 , 11.0°C
 06/09/2006  03:31 , 11.0°C
 06/09/2006  04:01 , 11.0°C
 06/09/2006  04:31 , 11.0°C
 06/09/2006  05:01 , 11.0°C
 06/09/2006  05:31 , 11.0°C
 06/09/2006  06:01 , 11.0°C
 06/09/2006  06:31 , 11.0°C
 06/09/2006  07:01 , 11.0°C
 06/09/2006  07:31 , 11.0°C
 06/09/2006  08:01 , 10.5°C
 06/09/2006  08:31 , 11.0°C
 06/09/2006  09:01 , 11.0°C
 06/09/2006  09:31 , 11.0°C
 06/09/2006  10:01 , 11.0°C
 06/09/2006  10:31 , 11.5°C
 06/09/2006  11:01 , 11.5°C
 06/09/2006  11:31 , 11.5°C
 06/09/2006  12:01 , 11.5°C
 06/09/2006  12:31 , 11.5°C
 06/09/2006  13:01 , 12.0°C
 06/09/2006  13:31 , 12.0°C
 06/09/2006  14:01 , 12.0°C
 06/09/2006  14:31 , 12.0°C
 06/09/2006  15:01 , 12.0°C
 06/09/2006  15:31 , 12.0°C
 06/09/2006  16:01 , 12.0°C
 06/09/2006  16:31 , 11.5°C
 06/09/2006  17:01 , 11.5°C
 06/09/2006  17:31 , 11.5°C
 06/09/2006  18:01 , 11.5°C
 06/09/2006  18:31 , 11.5°C
 06/09/2006  19:01 , 11.5°C
 06/09/2006  19:31 , 11.5°C
 06/09/2006  20:01 , 11.0°C
 06/09/2006  20:31 , 11.0°C
 06/09/2006  21:01 , 11.0°C
 06/09/2006  21:31 , 11.0°C
 06/09/2006  22:01 , 11.0°C
 06/09/2006  22:31 , 11.0°C
 06/09/2006  23:01 , 11.0°C
 06/09/2006  23:31 , 11.0°C
 06/10/2006  00:01 , 11.0°C
 06/10/2006  00:31 , 11.0°C
 06/10/2006  01:01 , 11.0°C
 06/10/2006  01:31 , 11.0°C
 06/10/2006  02:01 , 11.0°C
 06/10/2006  02:31 , 11.0°C
 06/10/2006  03:01 , 11.0°C
 06/10/2006  03:31 , 11.0°C
 06/10/2006  04:01 , 11.0°C
 06/10/2006  04:31 , 11.0°C
 06/10/2006  05:01 , 11.0°C
 06/10/2006  05:31 , 11.0°C
 06/10/2006  06:01 , 11.0°C
 06/10/2006  06:31 , 11.0°C
 06/10/2006  07:01 , 11.0°C
 06/10/2006  07:31 , 11.0°C
 06/10/2006  08:01 , 11.0°C
 06/10/2006  08:31 , 11.0°C
 06/10/2006  09:01 , 11.0°C
 06/10/2006  09:31 , 11.0°C
 06/10/2006  10:01 , 11.5°C
 06/10/2006  10:31 , 11.5°C
 06/10/2006  11:01 , 11.5°C
 06/10/2006  11:31 , 11.5°C
 06/10/2006  12:01 , 11.5°C
 06/10/2006  12:31 , 12.0°C
 06/10/2006  13:01 , 12.0°C
 06/10/2006  13:31 , 12.0°C
 06/10/2006  14:01 , 12.0°C
 06/10/2006  14:31 , 12.0°C
 06/10/2006  15:01 , 12.0°C
 06/10/2006  15:31 , 12.0°C
 06/10/2006  16:01 , 12.0°C
 06/10/2006  16:31 , 11.5°C
 06/10/2006  17:01 , 11.5°C
 06/10/2006  17:31 , 11.5°C
 06/10/2006  18:01 , 11.5°C
 06/10/2006  18:31 , 11.5°C
 06/10/2006  19:01 , 11.5°C
 06/10/2006  19:31 , 11.5°C
 06/10/2006  20:01 , 11.5°C
 06/10/2006  20:31 , 11.0°C
 06/10/2006  21:01 , 11.0°C
 06/10/2006  21:31 , 11.0°C
 06/10/2006  22:01 , 11.0°C
 06/10/2006  22:31 , 11.0°C
 06/10/2006  23:01 , 11.0°C
 06/10/2006  23:31 , 11.0°C
 06/11/2006  00:01 , 11.0°C
 06/11/2006  00:31 , 11.0°C
 06/11/2006  01:01 , 11.0°C
 06/11/2006  01:31 , 11.0°C
 06/11/2006  02:01 , 11.0°C
 06/11/2006  02:31 , 11.0°C
 06/11/2006  03:01 , 11.0°C
 06/11/2006  03:31 , 11.0°C
 06/11/2006  04:01 , 11.0°C
 06/11/2006  04:31 , 11.0°C
 06/11/2006  05:01 , 11.0°C
 06/11/2006  05:31 , 11.0°C
 06/11/2006  06:01 , 11.0°C
 06/11/2006  06:31 , 11.0°C
 06/11/2006  07:01 , 11.0°C
 06/11/2006  07:31 , 11.0°C
 06/11/2006  08:01 , 11.0°C
 06/11/2006  08:31 , 11.0°C
 06/11/2006  09:01 , 11.0°C
 06/11/2006  09:31 , 11.0°C
 06/11/2006  10:01 , 11.0°C
 06/11/2006  10:31 , 11.0°C
 06/11/2006  11:01 , 11.0°C
 06/11/2006  11:31 , 11.5°C
 06/11/2006  12:01 , 11.5°C
 06/11/2006  12:31 , 12.0°C
 06/11/2006  13:01 , 12.0°C
 06/11/2006  13:31 , 12.0°C
 06/11/2006  14:01 , 12.0°C
 06/11/2006  14:31 , 12.0°C
 06/11/2006  15:01 , 12.0°C
 06/11/2006  15:31 , 12.0°C
 06/11/2006  16:01 , 12.0°C
 06/11/2006  16:31 , 12.0°C
 06/11/2006  17:01 , 12.0°C
 06/11/2006  17:31 , 12.0°C
 06/11/2006  18:01 , 12.0°C
 06/11/2006  18:31 , 12.0°C
 06/11/2006  19:01 , 12.0°C
 06/11/2006  19:31 , 12.0°C
 06/11/2006  20:01 , 12.0°C
 06/11/2006  20:31 , 12.0°C
 06/11/2006  21:01 , 12.0°C
 06/11/2006  21:31 , 12.0°C
 06/11/2006  22:01 , 12.0°C
 06/11/2006  22:31 , 12.0°C
 06/11/2006  23:01 , 12.0°C
 06/11/2006  23:31 , 12.0°C
 06/12/2006  00:01 , 12.0°C
 06/12/2006  00:31 , 12.0°C
 06/12/2006  01:01 , 12.0°C
 06/12/2006  01:31 , 12.0°C
 06/12/2006  02:01 , 12.0°C
 06/12/2006  02:31 , 12.0°C
 06/12/2006  03:01 , 12.0°C
 06/12/2006  03:31 , 12.0°C
 06/12/2006  04:01 , 12.0°C
 06/12/2006  04:31 , 12.0°C
 06/12/2006  05:01 , 12.0°C
 06/12/2006  05:31 , 12.0°C
 06/12/2006  06:01 , 11.5°C
 06/12/2006  06:31 , 11.5°C
 06/12/2006  07:01 , 11.5°C
 06/12/2006  07:31 , 11.5°C
 06/12/2006  08:01 , 11.5°C
 06/12/2006  08:31 , 11.5°C
 06/12/2006  09:01 , 11.0°C
 06/12/2006  09:31 , 11.0°C
 06/12/2006  10:01 , 11.0°C
 06/12/2006  10:31 , 11.0°C
 06/12/2006  11:01 , 11.0°C
 06/12/2006  11:31 , 10.5°C
 06/12/2006  12:01 , 10.5°C
 06/12/2006  12:31 , 10.0°C
 06/12/2006  13:01 , 10.0°C
 06/12/2006  13:31 , 10.0°C
 06/12/2006  14:01 , 10.0°C
 06/12/2006  14:31 , 10.0°C
 06/12/2006  15:01 , 10.5°C
 06/12/2006  15:31 , 10.0°C
 06/12/2006  16:01 , 10.5°C
 06/12/2006  16:31 , 10.5°C
 06/12/2006  17:01 , 10.0°C
 06/12/2006  17:31 , 10.0°C
 06/12/2006  18:01 , 10.0°C
 06/12/2006  18:31 , 10.0°C
 06/12/2006  19:01 , 10.0°C
 06/12/2006  19:31 , 10.0°C
 06/12/2006  20:01 , 10.0°C
 06/12/2006  20:31 , 10.0°C
 06/12/2006  21:01 , 10.0°C
 06/12/2006  21:31 , 10.0°C
 06/12/2006  22:01 , 10.0°C
 06/12/2006  22:31 , 10.0°C
 06/12/2006  23:01 , 10.0°C
 06/12/2006  23:31 , 10.0°C
 06/13/2006  00:01 , 10.0°C
 06/13/2006  00:31 , 10.0°C
 06/13/2006  01:01 , 10.0°C
 06/13/2006  01:31 , 10.0°C
 06/13/2006  02:01 , 10.0°C
 06/13/2006  02:31 , 10.0°C
 06/13/2006  03:01 , 10.0°C
 06/13/2006  03:31 , 10.0°C
 06/13/2006  04:01 , 10.0°C
 06/13/2006  04:31 , 10.0°C
 06/13/2006  05:01 , 10.0°C
 06/13/2006  05:31 , 10.0°C
 06/13/2006  06:01 , 10.0°C
 06/13/2006  06:31 , 10.0°C
 06/13/2006  07:01 , 10.0°C
 06/13/2006  07:31 , 9.5°C
 06/13/2006  08:01 , 9.5°C
 06/13/2006  08:31 , 9.5°C
 06/13/2006  09:01 , 9.5°C
 06/13/2006  09:31 , 10.0°C
 06/13/2006  10:01 , 10.0°C
 06/13/2006  10:31 , 10.0°C
 06/13/2006  11:01 , 10.0°C
 06/13/2006  11:31 , 10.0°C
 06/13/2006  12:01 , 10.0°C
 06/13/2006  12:31 , 10.0°C
 06/13/2006  13:01 , 10.0°C
 06/13/2006  13:31 , 10.0°C
 06/13/2006  14:01 , 10.0°C
 06/13/2006  14:31 , 10.0°C
 06/13/2006  15:01 , 10.0°C
 06/13/2006  15:31 , 10.0°C
 06/13/2006  16:01 , 10.0°C
 06/13/2006  16:31 , 10.0°C
 06/13/2006  17:01 , 10.0°C
 06/13/2006  17:31 , 9.5°C
 06/13/2006  18:01 , 9.5°C
 06/13/2006  18:31 , 9.5°C
 06/13/2006  19:01 , 9.5°C
 06/13/2006  19:31 , 9.5°C
 06/13/2006  20:01 , 9.5°C
 06/13/2006  20:31 , 9.5°C
 06/13/2006  21:01 , 9.5°C
 06/13/2006  21:31 , 9.5°C
 06/13/2006  22:01 , 9.5°C
 06/13/2006  22:31 , 9.5°C
 06/13/2006  23:01 , 9.5°C
 06/13/2006  23:31 , 9.5°C
 06/14/2006  00:01 , 9.5°C
 06/14/2006  00:31 , 9.5°C
 06/14/2006  01:01 , 9.0°C
 06/14/2006  01:31 , 9.0°C
 06/14/2006  02:01 , 9.0°C
 06/14/2006  02:31 , 9.0°C
 06/14/2006  03:01 , 9.0°C
 06/14/2006  03:31 , 9.0°C
 06/14/2006  04:01 , 9.0°C
 06/14/2006  04:31 , 9.0°C
 06/14/2006  05:01 , 9.0°C
 06/14/2006  05:31 , 9.0°C
 06/14/2006  06:01 , 9.0°C
 06/14/2006  06:31 , 9.0°C
 06/14/2006  07:01 , 9.0°C
 06/14/2006  07:31 , 9.0°C
 06/14/2006  08:01 , 9.0°C
 06/14/2006  08:31 , 9.0°C
 06/14/2006  09:01 , 9.0°C
 06/14/2006  09:31 , 9.5°C
 06/14/2006  10:01 , 9.5°C
 06/14/2006  10:31 , 9.5°C
 06/14/2006  11:01 , 9.5°C
 06/14/2006  11:31 , 10.0°C
 06/14/2006  12:01 , 10.0°C
 06/14/2006  12:31 , 10.0°C
 06/14/2006  13:01 , 10.0°C
 06/14/2006  13:31 , 10.0°C
 06/14/2006  14:01 , 10.5°C
 06/14/2006  14:31 , 10.5°C
 06/14/2006  15:01 , 10.5°C
 06/14/2006  15:31 , 10.5°C
 06/14/2006  16:01 , 10.5°C
 06/14/2006  16:31 , 10.5°C
 06/14/2006  17:01 , 10.0°C
 06/14/2006  17:31 , 10.0°C
 06/14/2006  18:01 , 10.0°C
 06/14/2006  18:31 , 10.0°C
 06/14/2006  19:01 , 10.0°C
 06/14/2006  19:31 , 10.0°C
 06/14/2006  20:01 , 10.0°C
 06/14/2006  20:31 , 10.0°C
 06/14/2006  21:01 , 10.0°C
 06/14/2006  21:31 , 10.0°C
 06/14/2006  22:01 , 10.0°C
 06/14/2006  22:31 , 10.0°C
 06/14/2006  23:01 , 10.0°C
 06/14/2006  23:31 , 10.0°C
 06/15/2006  00:01 , 10.0°C
 06/15/2006  00:31 , 10.0°C
 06/15/2006  01:01 , 10.0°C
 06/15/2006  01:31 , 10.0°C
 06/15/2006  02:01 , 10.0°C
 06/15/2006  02:31 , 10.0°C
 06/15/2006  03:01 , 10.0°C
 06/15/2006  03:31 , 10.0°C
 06/15/2006  04:01 , 10.0°C
 06/15/2006  04:31 , 10.0°C
 06/15/2006  05:01 , 10.0°C
 06/15/2006  05:31 , 10.0°C
 06/15/2006  06:01 , 10.0°C
 06/15/2006  06:31 , 10.0°C
 06/15/2006  07:01 , 10.0°C
 06/15/2006  07:31 , 10.0°C
 06/15/2006  08:01 , 10.0°C
 06/15/2006  08:31 , 10.0°C
 06/15/2006  09:01 , 10.0°C
 06/15/2006  09:31 , 10.0°C
 06/15/2006  10:01 , 10.5°C
 06/15/2006  10:31 , 10.5°C
 06/15/2006  11:01 , 10.5°C
 06/15/2006  11:31 , 10.5°C
 06/15/2006  12:01 , 11.0°C
 06/15/2006  12:31 , 11.0°C
 06/15/2006  13:01 , 11.0°C
 06/15/2006  13:31 , 11.0°C
 06/15/2006  14:01 , 11.0°C
 06/15/2006  14:31 , 11.0°C
 06/15/2006  15:01 , 11.0°C
 06/15/2006  15:31 , 11.0°C
 06/15/2006  16:01 , 11.0°C
 06/15/2006  16:31 , 11.0°C
 06/15/2006  17:01 , 11.0°C
 06/15/2006  17:31 , 11.0°C
 06/15/2006  18:01 , 10.5°C
 06/15/2006  18:31 , 10.5°C
 06/15/2006  19:01 , 10.5°C
 06/15/2006  19:31 , 10.5°C
 06/15/2006  20:01 , 10.5°C
 06/15/2006  20:31 , 10.5°C
 06/15/2006  21:01 , 10.5°C
 06/15/2006  21:31 , 10.5°C
 06/15/2006  22:01 , 10.5°C
 06/15/2006  22:31 , 10.5°C
 06/15/2006  23:01 , 10.5°C
 06/15/2006  23:31 , 10.5°C
 06/16/2006  00:01 , 10.0°C
 06/16/2006  00:31 , 10.0°C
 06/16/2006  01:01 , 10.5°C
 06/16/2006  01:31 , 10.5°C
 06/16/2006  02:01 , 10.5°C
 06/16/2006  02:31 , 10.5°C
 06/16/2006  03:01 , 10.5°C
 06/16/2006  03:31 , 10.5°C
 06/16/2006  04:01 , 10.0°C
 06/16/2006  04:31 , 10.0°C
 06/16/2006  05:01 , 10.0°C
 06/16/2006  05:31 , 10.5°C
 06/16/2006  06:01 , 10.5°C
 06/16/2006  06:31 , 10.5°C
 06/16/2006  07:01 , 10.5°C
 06/16/2006  07:31 , 10.5°C
 06/16/2006  08:01 , 10.5°C
 06/16/2006  08:31 , 10.5°C
 06/16/2006  09:01 , 11.0°C
 06/16/2006  09:31 , 11.0°C
 06/16/2006  10:01 , 11.0°C
 06/16/2006  10:31 , 11.0°C
 06/16/2006  11:01 , 11.0°C
 06/16/2006  11:31 , 11.0°C
 06/16/2006  12:01 , 11.0°C
 06/16/2006  12:31 , 11.0°C
 06/16/2006  13:01 , 11.0°C
 06/16/2006  13:31 , 11.0°C
 06/16/2006  14:01 , 11.5°C
 06/16/2006  14:31 , 11.0°C
